type	latitude	longitude	altitude (m)	name	objectid
T	41.976211219	-124.174034693	327.0	data4x4 - Copy	1
T	41.976211219	-124.106661047	285.9		2
T	41.976211219	-124.039287400	330.9		3
T	41.976211219	-123.971913754	581.2		4
T	41.976211219	-123.904540108	405.4		5
T	41.976211219	-123.837166461	960.0		6
T	41.976211219	-123.769792815	1133.8		7
T	41.976211219	-123.702419169	556.6		8
T	41.976211219	-123.635045522	799.3		9
T	41.976211219	-123.567671876	1056.3		10
T	41.976211219	-123.500298230	929.8		11
T	41.976211219	-123.432924584	1497.0		12
T	41.976211219	-123.365550937	1134.7		13
T	41.976211219	-123.298177291	1686.5		14
T	41.976211219	-123.230803645	1092.0		15
T	41.976211219	-123.163429998	1256.8		16
T	41.976211219	-123.096056352	1555.6		17
T	41.976211219	-123.028682706	1461.3		18
T	41.976211219	-122.961309059	1681.9		19
T	41.976211219	-122.893935413	1303.8		20
T	41.976211219	-122.826561767	1704.4		21
T	41.976211219	-122.759188120	1052.3		22
T	41.976211219	-122.691814474	1351.0		23
T	41.976211219	-122.624440828	889.8		24
T	41.976211219	-122.557067182	969.0		25
T	41.976211219	-122.489693535	1002.5		26
T	41.976211219	-122.422319889	878.7		27
T	41.976211219	-122.354946243	844.7		28
T	41.976211219	-122.287572596	792.3		29
T	41.976211219	-122.220198950	1064.7		30
T	41.976211219	-122.152825304	1579.2		31
T	41.976211219	-122.085451657	1302.8		32
T	41.976211219	-122.018078011	1344.9		33
T	41.976211219	-121.950704365	1295.9		34
T	41.976211219	-121.883330718	1268.8		35
T	41.976211219	-121.815957072	1244.6		36
T	41.976211219	-121.748583426	1244.3		37
T	41.976211219	-121.681209779	1244.2		38
T	41.976211219	-121.613836133	1244.1		39
T	41.976211219	-121.546462487	1231.5		40
T	41.976211219	-121.479088841	1231.3		41
T	41.976211219	-121.411715194	1232.4		42
T	41.976211219	-121.344341548	1270.0		43
T	41.976211219	-121.276967902	1461.1		44
T	41.976211219	-121.209594255	1502.7		45
T	41.976211219	-121.142220609	1291.7		46
T	41.976211219	-121.074846963	1393.6		47
T	41.976211219	-121.007473316	1440.7		48
T	41.976211219	-120.940099670	1538.4		49
T	41.976211219	-120.872726024	1586.2		50
T	41.976211219	-120.805352377	1614.0		51
T	41.976211219	-120.737978731	1708.8		52
T	41.976211219	-120.670605085	1770.9		53
T	41.976211219	-120.603231439	1643.3		54
T	41.976211219	-120.535857792	1743.7		55
T	41.976211219	-120.468484146	1434.1		56
T	41.976211219	-120.401110500	1434.1		57
T	41.976211219	-120.333736853	1434.1		58
T	41.976211219	-120.266363207	1921.5		59
T	41.976211219	-120.198989561	2226.2		60
T	41.976211219	-120.131615914	2158.1		61
T	41.976211219	-120.064242268	1764.4		62
T	41.926104434	-124.174034693	4.1		63
T	41.926104434	-124.106661047	84.4		64
T	41.926104434	-124.039287400	331.8		65
T	41.926104434	-123.971913754	764.6		66
T	41.926104434	-123.904540108	823.4		67
T	41.926104434	-123.837166461	584.1		68
T	41.926104434	-123.769792815	621.4		69
T	41.926104434	-123.702419169	865.6		70
T	41.926104434	-123.635045522	1311.2		71
T	41.926104434	-123.567671876	1284.0		72
T	41.926104434	-123.500298230	959.4		73
T	41.926104434	-123.432924584	1066.4		74
T	41.926104434	-123.365550937	1075.9		75
