type	latitude	longitude	altitude (m)	name
W	41.998579523	-123.604053645	744.0	1
W	41.998579523	-123.562731142	1316.3	2
W	41.998579523	-123.521408639	1494.2	3
W	41.998579523	-123.480086136	1414.0	4
W	41.998579523	-123.438763633	1465.0	5
W	41.998579523	-123.397441130	1531.7	6
W	41.998579523	-123.356118627	1529.8	7
W	41.998579523	-123.314796124	1726.8	8
W	41.998579523	-123.273473621	1227.0	9
W	41.998579523	-123.232151118	1571.5	10
W	41.998579523	-123.190828614	1457.5	11
W	41.998579523	-123.149506111	783.7	12
W	41.998579523	-123.108183608	688.3	13
W	41.998579523	-123.066861105	797.9	14
W	41.998579523	-123.025538602	952.3	15
W	41.998579523	-122.984216099	1668.5	16
W	41.998579523	-122.942893596	1303.6	17
W	41.998579523	-122.901571093	1786.5	18
W	41.998579523	-122.860248590	1645.4	19
W	41.998579523	-122.818926087	1788.2	20
W	41.998579523	-122.777603584	1137.5	21
W	41.998579523	-122.736281081	1326.9	22
W	41.998579523	-122.694958578	1134.9	23
W	41.998579523	-122.653636075	1022.3	24
W	41.998579523	-122.612313571	986.2	25
W	41.998579523	-122.570991068	1244.0	26
W	41.998579523	-122.529668565	1298.1	27
W	41.998579523	-122.488346062	969.6	28
W	41.998579523	-122.447023559	865.7	29
W	41.998579523	-122.405701056	1006.6	30
W	41.998579523	-122.364378553	988.0	31
W	41.998579523	-122.323056050	1021.5	32
W	41.998579523	-122.281733547	1052.5	33
W	41.998579523	-122.240411044	1102.8	34
W	41.998579523	-122.199088541	904.8	35
W	41.998579523	-122.157766038	1204.7	36
W	41.998579523	-122.116443535	1330.8	37
W	41.998579523	-122.075121032	1302.4	38
W	41.998579523	-122.033798529	1330.5	39
W	41.998579523	-121.992476025	1493.1	40
W	41.998579523	-121.951153522	1347.4	41
W	41.998579523	-121.909831019	1306.0	42
W	41.998579523	-121.868508516	1246.8	43
W	41.998579523	-121.827186013	1244.6	44
W	41.998579523	-121.785863510	1243.8	45
W	41.998579523	-121.744541007	1242.4	46
W	41.998579523	-121.703218504	1244.6	47
W	41.998579523	-121.661896001	1246.0	48
W	41.998579523	-121.620573498	1247.1	49
