type	latitude	longitude	altitude (m)	name
W	41.942807124	-124.308781990	0.0	1
W	41.942807124	-124.238781990	0.0	2
W	41.942807124	-124.168781990	65.1	3
W	41.942807124	-124.098781990	115.4	4
W	41.942807124	-124.028781990	433.9	5
W	41.942807124	-123.958781990	857.7	6
W	41.942807124	-123.888781990	816.1	7
W	41.942807124	-123.818781990	942.6	8
W	41.942807124	-123.748781990	509.4	9
W	41.942807124	-123.678781990	913.1	10
W	41.942807124	-123.608781990	1362.1	11
W	41.942807124	-123.538781990	1596.6	12
W	41.942807124	-123.468781990	890.1	13
W	41.942807124	-123.398781990	1259.2	14
W	41.942807124	-123.328781990	1226.0	15
W	41.942807124	-123.258781990	1368.1	16
W	41.942807124	-123.188781990	1589.0	17
W	41.942807124	-123.118781990	1591.2	18
W	41.942807124	-123.048781990	1435.5	19
W	41.942807124	-122.978781990	1977.3	20
W	41.942807124	-122.908781990	1356.0	21
W	41.942807124	-122.838781990	987.3	22
W	41.942807124	-122.768781990	1411.2	23
W	41.942807124	-122.698781990	1512.2	24
W	41.942807124	-122.628781990	1237.7	25
W	41.942807124	-122.558781990	839.8	26
W	41.942807124	-122.488781990	847.5	27
W	41.942807124	-122.418781990	781.5	28
W	41.942807124	-122.348781990	956.8	29
W	41.942807124	-122.278781990	1283.4	30
W	41.942807124	-122.208781990	1307.2	31
W	41.942807124	-122.138781990	1416.1	32
W	41.942807124	-122.068781990	1391.1	33
W	41.942807124	-121.998781990	1293.6	34
W	41.942807124	-121.928781990	1293.0	35
W	41.942807124	-121.858781990	1287.5	36
W	41.942807124	-121.788781990	1244.8	37
W	41.942807124	-121.718781990	1243.1	38
W	41.942807124	-121.648781990	1244.3	39
W	41.942807124	-121.578781990	1487.7	40
W	41.942807124	-121.508781990	1228.6	41
W	41.942807124	-121.438781990	1230.3	42
W	41.942807124	-121.368781990	1230.9	43
W	41.942807124	-121.298781990	1396.4	44
W	41.942807124	-121.228781990	1409.1	45
W	41.942807124	-121.158781990	1460.7	46
